reference,competitor,mean_delta_ap,delta_low,delta_high,completeYears
OG-RDE,Reporting surface,0.2949626764179769,0.2764095324624143,0.3146099561081516,4
OG-RDE,Distance kernel,0.22464298351097767,0.2130835339126446,0.2381939339829388,4
OG-RDE,Ruzzier-2025 transfer,0.1640323532750326,0.13258885778765678,0.1906505386225706,4
OG-RDE,Cook-2021 kernel,0.03084807754053412,-0.0037872988261410945,0.06548345390720933,4
OG-RDE,Full mechanistic,0.02970933221847881,0.004889065622567301,0.05452959881439032,4
OG-RDE,Fisher-KPP,0.019184017075356802,-0.007342018844260154,0.04369360804101423,4
OG-RDE,Transport RD,0.012595198044745307,-0.009835225998714225,0.03935105202399723,4
OG-RDE,Climate RD,0.01166724511421885,-0.014220902968703819,0.0388334989136485,4
OG-RDE,OG-RDE + reporting,0.002520745729298876,-9.320964440794055e-05,0.0042287262568317385,4
OG-RDE,OG-RDE + transport,0.00016860481918014314,-0.00902653350283597,0.011022783792826951,4
OG-RDE,Covariate hazard,-0.0010100630328233606,-0.008801738343327703,0.011299569618644256,4
OG-RDE,Eco-RD,-0.002359419997171708,-0.023895237009402548,0.02354529344595592,4
