model,block_ap_mean,block_ap_low,block_ap_high
Climate RD,0.5069894995359712,0.40283161255115296,0.6051792005703983
Fisher-KPP,0.506726431520133,0.40203763682664456,0.603315217812511
OG-RDE + transport,0.5054573939632594,0.4072245011448028,0.6000111126180724
Covariate hazard,0.5053612507806312,0.4092611444095726,0.5955711696417325
Transport RD,0.5037968448854373,0.4006087289109461,0.5995931551359478
Full mechanistic,0.5024117462919795,0.3979115382112869,0.6017954311010756
Eco-RD,0.49985861432676904,0.4050035196288888,0.5870197618056481
Cook-2021 kernel,0.497405114081546,0.3953832608995851,0.5941483907978927
OG-RDE + reporting,0.49558749683855385,0.399373342851916,0.5873162457249077
Ruzzier-2025 transfer,0.4865326538997844,0.3964015414883064,0.5728941499099042
OG-RDE,0.4862611163293921,0.3957347727509676,0.5710199235641156
Reporting surface,0.3432291607277142,0.24633687192300188,0.4424660992791807
Distance kernel,0.33839197369767915,0.2557678259702633,0.4211051893422584
