reference,competitor,mean_delta_ap,delta_low,delta_high,completeYears
Eco-RD,Reporting surface,0.2973220964151486,0.2688070261444271,0.33607610266314275,4
Eco-RD,Distance kernel,0.22700240350814938,0.2113920931102945,0.24523466344111006,4
Eco-RD,Ruzzier-2025 transfer,0.1663917732722043,0.13163756070759206,0.2058417129254143,4
Eco-RD,Cook-2021 kernel,0.03320749753770583,0.020107938183261453,0.04686375395634655,4
Eco-RD,Full mechanistic,0.03206875221565052,0.018616736577233867,0.04552076785406717,4
Eco-RD,Fisher-KPP,0.02154343707252851,0.012729005233260815,0.030357868911796204,4
Eco-RD,Transport RD,0.014954618041917014,0.01183406364431025,0.02002058757696075,4
Eco-RD,Climate RD,0.014026665111390557,0.008126813323516807,0.019168742541488287,4
Eco-RD,OG-RDE + reporting,0.004880165726470584,-0.019917757095163954,0.02772283468356307,4
Eco-RD,OG-RDE + transport,0.002528024816351851,-0.01716394408898489,0.02221999372168859,4
Eco-RD,OG-RDE,0.002359419997171708,-0.02354529344595592,0.023895237009402548,4
Eco-RD,Covariate hazard,0.0013493569643483472,-0.030369694224654034,0.029257226803972913,4
