reference,competitor,mean_delta_ap,delta_low,delta_high,probability_reference_better,pairedBlockYears,uniqueGeographicBlocks
Eco-RD,Distance kernel,0.16266136697075645,0.1174034329032726,0.20628079814452574,1.0,59,20
Eco-RD,Reporting surface,0.15718665549469243,0.08095891329625406,0.2269592718124535,1.0,59,20
Eco-RD,OG-RDE,0.013791828623319513,0.0024156612951814244,0.0240102952757024,0.9924,59,20
Eco-RD,Ruzzier-2025 transfer,0.013078855046356029,-0.024640383439892197,0.04784562363131228,0.7644,59,20
Eco-RD,OG-RDE + reporting,0.004616599376215887,-0.026491451206204976,0.025396353997486406,0.6604,59,20
Eco-RD,Cook-2021 kernel,0.0028634613085553582,-0.02419104173978491,0.024280273524522562,0.6068,59,20
Eco-RD,Full mechanistic,-0.0021231799783283756,-0.03810460142153107,0.023598359216066463,0.4836,59,20
Eco-RD,Transport RD,-0.003626934154705204,-0.028169404113974006,0.01206290903586359,0.3908,59,20
Eco-RD,Covariate hazard,-0.005258426156756841,-0.03472450768447649,0.014057350388087043,0.3772,59,20
Eco-RD,OG-RDE + transport,-0.0053968751768802845,-0.03369990121047885,0.012417911451333733,0.3716,59,20
Eco-RD,Fisher-KPP,-0.006713242107759391,-0.03027634948496698,0.010112922804964564,0.282,59,20
Eco-RD,Climate RD,-0.007046501074278974,-0.030310294968967543,0.009346671800624415,0.2676,59,20
