diffusion,growth,hostFloor,climateFloor,hostPower,climatePower,ap_2019,ap_2020,ap_2021,ap_2022,ap_2023,mean_average_precision,worst_year_average_precision
0.28,0.24,0.0,0.0,1.0,1.6,0.7347853211662548,0.6922403185533128,0.5993884573040089,0.5507029564837423,0.5555420598301866,0.6265318226675011,0.5507029564837423
0.28,0.24,0.0,0.15,1.0,1.6,0.734688162448772,0.6901562117159902,0.6001686381705383,0.5454125959146785,0.5563171483774977,0.6253485513254953,0.5454125959146785
0.28,0.24,0.0,0.0,0.6,1.6,0.7221275763625182,0.6958374158022897,0.5953424240368295,0.5574531691498263,0.5550321109936768,0.6251585392690282,0.5550321109936768
0.28,0.24,0.15,0.0,1.0,1.6,0.7274120540174802,0.6920939103947726,0.5961207833386231,0.553784420267668,0.5533551692626631,0.6245532674562414,0.5533551692626631
0.28,0.24,0.15,0.15,1.0,1.6,0.7280732138419004,0.6921322708797993,0.5970449399698069,0.5511120733051541,0.552308808464022,0.6241342612921366,0.5511120733051541
0.28,0.24,0.0,0.0,1.0,1.0,0.7375795260702634,0.686649397550585,0.6009658057339871,0.539699731114401,0.5553311720188995,0.6240451264976272,0.539699731114401
0.28,0.24,0.15,0.0,1.6,1.6,0.736098617358329,0.686399773842693,0.5990456906957742,0.5465529073922039,0.5518980155764246,0.6239990009730849,0.5465529073922039
0.28,0.24,0.35,0.15,1.6,1.6,0.7273731676103664,0.6915688791191898,0.5976752878176083,0.5518933986187824,0.5506780165986722,0.6238377499529237,0.5506780165986722
0.28,0.24,0.35,0.0,1.6,1.6,0.7258750240967179,0.690266690751227,0.5960272889929379,0.5538828408830879,0.5514218550559215,0.6234947399559785,0.5514218550559215
0.28,0.24,0.0,0.15,0.6,1.6,0.7224886612950873,0.6915628518575145,0.5967966437073273,0.5532011077316735,0.5533611912354228,0.6234820911654051,0.5532011077316735
0.28,0.24,0.0,0.0,0.6,1.0,0.7247214977674267,0.6914958181665406,0.5984117007278346,0.5465470963299682,0.5557219533740757,0.6233796132731693,0.5465470963299682
0.28,0.24,0.0,0.35,1.0,1.6,0.7375795260702634,0.6853738046043794,0.5988583124911051,0.5384592631631687,0.5563184982211405,0.6233178809100114,0.5384592631631687
