year,model,endpoint,positives,candidates,prevalence,average_precision,normalized_ap_lift
2022,Transport RD,cumulative,293,1652,0.17736077481840193,0.8960477604401208,0.8736356881876965
2022,Transport RD,first-report frontier,109,1468,0.07425068119891008,0.5282799493142941,0.49044515496201896
2022,Persistence only,cumulative,293,1652,0.17736077481840193,0.6939669776628185,0.6279863481228669
2023,Transport RD,cumulative,402,1652,0.24334140435835352,0.9339042012519182,0.9126477923745351
2023,Transport RD,first-report frontier,109,1359,0.08020603384841796,0.5452090542684845,0.5055512838006964
2023,Persistence only,cumulative,402,1652,0.24334140435835352,0.7948363509329863,0.7288557213930348
2024,Transport RD,cumulative,512,1652,0.3099273607748184,0.9442014638410339,0.919141068653849
2024,Transport RD,first-report frontier,110,1250,0.088,0.4778478961058689,0.4274647983616983
2024,Persistence only,cumulative,512,1652,0.3099273607748184,0.8517422064164649,0.78515625
2025,Transport RD,cumulative,651,1652,0.3940677966101695,0.9523682526854499,0.9213909624738895
2025,Transport RD,first-report frontier,139,1140,0.12192982456140351,0.48180727223693887,0.40985043991020015
2025,Persistence only,cumulative,651,1652,0.3940677966101695,0.8706227707047828,0.7864823348694318
