model,block_ap_mean,block_ap_low,block_ap_high
Transport RD,0.5351130973371323,0.401453241974635,0.6635670952400653
Climate RD,0.5334527361369619,0.40045070122991294,0.6626757483223908
Fisher-KPP,0.5307746049138931,0.3965049396547901,0.6603981427308719
Full mechanistic,0.523595017604955,0.38890322230315827,0.6545455495788233
Eco-RD,0.5201584651547655,0.3987969967803035,0.6346112540649879
Cook-2021 kernel,0.5176623418797998,0.3860665576862372,0.6478026597189306
Covariate hazard,0.5079913681773248,0.3860907574138224,0.6237411100128339
OG-RDE,0.49915715509178127,0.3771737203278597,0.6171686404370076
Ruzzier-2025 transfer,0.4985602959473841,0.38430186652561277,0.6079329380438075
Distance kernel,0.35657838678435194,0.2482582689099815,0.4739316106706908
