year,model,positives,candidates,average_precision,roc_auc,recall_at_5pct
2024,Distance kernel,110,1250,0.2753177100910622,0.8418580542264753,0.2727272727272727
2024,Cook-2021 kernel,110,1250,0.43532236977501365,0.8609888357256779,0.2818181818181818
2024,Fisher-KPP,110,1250,0.4638341504997694,0.867543859649123,0.3
2024,Climate RD,110,1250,0.4690286929679064,0.8684609250398725,0.2909090909090909
2024,Transport RD,110,1250,0.4778478961058689,0.8706539074960128,0.3181818181818182
2024,Full mechanistic,110,1250,0.4455702347196303,0.8636921850079744,0.3090909090909091
2024,Covariate hazard,110,1250,0.4866701572119878,0.879712918660287,0.3181818181818182
2024,OG-RDE,110,1250,0.47869375874504383,0.8799441786283893,0.32727272727272727
2025,Distance kernel,139,1140,0.28751932766506255,0.8057266474532662,0.23741007194244604
2025,Cook-2021 kernel,139,1140,0.4576847404173997,0.8668381977734495,0.18705035971223022
2025,Fisher-KPP,139,1140,0.48028048213661984,0.8530677955138387,0.2158273381294964
2025,Climate RD,139,1140,0.4798345386446426,0.8542464729515089,0.2158273381294964
2025,Transport RD,139,1140,0.48180727223693887,0.8557988773816112,0.23741007194244604
2025,Full mechanistic,139,1140,0.47757791274199396,0.8446230028963841,0.2589928057553957
2025,Covariate hazard,139,1140,0.5212005085571512,0.8689799409223868,0.2517985611510791
2025,OG-RDE,139,1140,0.5146683000207758,0.8685127821818469,0.23741007194244604
