reference,competitor,mean_delta_ap,delta_low,delta_high,probability_reference_better,pairedBlockYears,uniqueGeographicBlocks
OG-RDE,Distance kernel,0.1488695383474369,0.10614759851530277,0.19066183903280065,1.0,59,20
OG-RDE,Reporting surface,0.1433948268713729,0.06792509674142765,0.2150869190617581,1.0,59,20
OG-RDE,Ruzzier-2025 transfer,-0.0007129735769634859,-0.041955975114673284,0.037763109479943185,0.5024,59,20
OG-RDE,OG-RDE + reporting,-0.009175229247103626,-0.03918528626270252,0.006914510318147669,0.3504,59,20
OG-RDE,Cook-2021 kernel,-0.010928367314764157,-0.03588180532107878,0.008413120497792689,0.1636,59,20
OG-RDE,Eco-RD,-0.013791828623319513,-0.024010295275702396,-0.002415661295181423,0.0076,59,20
OG-RDE,Full mechanistic,-0.01591500860164789,-0.053672629173388824,0.013619011893396914,0.1736,59,20
OG-RDE,Transport RD,-0.017418762778024722,-0.04040492619869445,0.00044108146349260737,0.0292,59,20
OG-RDE,Covariate hazard,-0.019050254780076357,-0.04937274926208035,-0.0010265054785381243,0.0112,59,20
OG-RDE,OG-RDE + transport,-0.019188703800199797,-0.04969106433778911,-0.0006631810909270646,0.02,59,20
OG-RDE,Fisher-KPP,-0.020505070731078906,-0.04547325015318068,-0.0004864601775412195,0.022,59,20
OG-RDE,Climate RD,-0.020838329697598496,-0.044480100678079275,-0.00210612277199983,0.0128,59,20
