family,parameter,value,year,average_precision
Transport RD,diffusion,0.75,2025,0.4832331632014258
Transport RD,diffusion,1.0,2025,0.48180727223693887
Transport RD,diffusion,1.25,2025,0.4819729405928644
Transport RD,growth,0.75,2025,0.48235471780363115
Transport RD,growth,1.0,2025,0.48180727223693887
Transport RD,growth,1.25,2025,0.48081446595572175
Transport RD,jump,0.75,2025,0.4817365017570543
Transport RD,jump,1.0,2025,0.48180727223693887
Transport RD,jump,1.25,2025,0.4797708229912579
OG-RDE,C=0.03; cap=6,0.03,2022-2025 mean,0.5213613753651619
OG-RDE,C=0.03; cap=12,0.03,2022-2025 mean,0.5213334523757693
OG-RDE,C=0.08; cap=6,0.08,2022-2025 mean,0.521052233552325
OG-RDE,C=0.08; cap=12,0.08,2022-2025 mean,0.520769480988981
OG-RDE,C=0.2; cap=6,0.2,2022-2025 mean,0.5200961518744647
OG-RDE,C=0.2; cap=12,0.2,2022-2025 mean,0.5195207319941755
