year,model,blocks,positiveBlocks,activation_ap
2022,Distance kernel,23,14,0.8186808056555955
2022,Cook-2021 kernel,23,14,0.9126311188811187
2022,Ruzzier-2025 transfer,23,14,0.8713896222824794
2022,Eco-RD,23,14,0.9149579587079586
2022,Fisher-KPP,23,14,0.8815937039151324
2022,Climate RD,23,14,0.9047538770753054
2022,Transport RD,23,14,0.8900846002736758
2022,Full mechanistic,23,14,0.8767829061449139
2022,Reporting surface,23,14,0.720609824957651
2022,Covariate hazard,23,14,0.9002886819063289
2022,OG-RDE,23,14,0.9002886819063289
2022,OG-RDE + reporting,23,14,0.8967172533349002
2022,OG-RDE + transport,23,14,0.8801639653530409
2023,Distance kernel,23,16,0.9901315789473684
2023,Cook-2021 kernel,23,16,0.9875
2023,Ruzzier-2025 transfer,23,16,0.907736665853926
2023,Eco-RD,23,16,0.9749627976190476
2023,Fisher-KPP,23,16,0.9875
2023,Climate RD,23,16,0.9875
2023,Transport RD,23,16,0.9901315789473684
2023,Full mechanistic,23,16,0.98359375
2023,Reporting surface,23,16,0.8290953008344313
2023,Covariate hazard,23,16,0.9794270833333334
2023,OG-RDE,23,16,0.9794270833333334
2023,OG-RDE + reporting,23,16,0.98359375
2023,OG-RDE + transport,23,16,0.98359375
2024,Distance kernel,21,16,0.8695567810457516
2024,Cook-2021 kernel,21,16,0.9606282096171802
2024,Ruzzier-2025 transfer,21,16,0.9634098030237737
2024,Eco-RD,21,16,0.9647490887380593
2024,Fisher-KPP,21,16,0.9606282096171802
2024,Climate RD,21,16,0.9606282096171802
2024,Transport RD,21,16,0.9606282096171802
2024,Full mechanistic,21,16,0.9606282096171802
2024,Reporting surface,21,16,0.9103190212565212
2024,Covariate hazard,21,16,0.9686181363571069
2024,OG-RDE,21,16,0.9686181363571069
2024,OG-RDE + reporting,21,16,0.9686181363571069
2024,OG-RDE + transport,21,16,0.9606282096171802
2025,Distance kernel,21,16,0.8827614379084967
2025,Cook-2021 kernel,21,16,0.9815359477124184
2025,Ruzzier-2025 transfer,21,16,0.977890114379085
2025,Eco-RD,21,16,0.9805183531746032
2025,Fisher-KPP,21,16,0.9891493055555556
2025,Climate RD,21,16,0.9849826388888889
2025,Transport RD,21,16,0.9805183531746032
2025,Full mechanistic,21,16,0.9849826388888889
2025,Reporting surface,21,16,0.9074630230880231
2025,Covariate hazard,21,16,0.985702614379085
2025,OG-RDE,21,16,0.985702614379085
2025,OG-RDE + reporting,21,16,0.9891493055555556
2025,OG-RDE + transport,21,16,0.9891493055555556
2026,Distance kernel,20,9,0.5294117647058824
2026,Cook-2021 kernel,20,9,0.8214947089947091
2026,Ruzzier-2025 transfer,20,9,0.6657687991021324
2026,Eco-RD,20,9,0.833399470899471
2026,Fisher-KPP,20,9,0.797420634920635
2026,Climate RD,20,9,0.8382834757834761
2026,Transport RD,20,9,0.8199074074074075
2026,Full mechanistic,20,9,0.805820105820106
2026,Reporting surface,20,9,0.6632682132682133
2026,Covariate hazard,20,9,0.8594474969474972
2026,OG-RDE,20,9,0.8557710263592617
2026,OG-RDE + reporting,20,9,0.8557710263592617
2026,OG-RDE + transport,20,9,0.8682498057498058
